mean1	mean2	sd1	sd2	sampleID
3.2502594	-5.305999	-6.1389766	-5.6214294	GOLD_GOLD_27005
0.31669733	-0.48969394	-5.3079896	-5.8987904	SPOO_SPOO_27219
-2.553025	-10.9727745	-5.5165114	-5.0651655	HAVA_HAVA_27160
-3.3709087	-3.52843	-6.1398396	-5.8088627	SALU_SALU_27301
5.614753	4.689687	-7.9662113	-6.3704734	BOX_BOX_027190
-3.3863668	-3.5613463	-6.1011896	-5.9103785	SALU_SALU_27302
1.7667133	0.3373559	-6.100428	-6.243134	STBD_STBD_27082
3.862474	-7.4779215	-5.457057	-5.6931734	FCR_FCR_027140
-1.0858241	-8.406986	-5.627519	-4.639662	TPOO_TPOO_27222
0.19442019	-0.35394663	-5.4498897	-6.0430417	SPOO_SPOO_27225
-3.474818	-3.6907837	-6.150598	-5.907219	SALU_SALU_27308
3.5217035	-7.2883425	-5.6475425	-5.753809	FCR_FCR_027107
1.1377691	-2.0167377	-6.1196384	-5.984689	TURV_TURV_24635
1.3856844	-2.3429322	-6.053612	-5.9038897	TURV_TURV_24636
-12.723093	-8.233837	-4.3543367	-6.028121	CHOW_CHOW_13802
2.7787082	0.5170956	-6.2140794	-6.8827753	DANE_DANE_06610
8.524985	-6.4513793	-5.9447465	-5.354539	SCOT_SCOT_08542
-1.1432022	-8.371466	-5.7554	-4.6472845	TPOO_TPOO_10442
3.9082768	-7.3323264	-5.386386	-5.746871	FCR_FCR_020576
-1.9584788	-7.5110903	-6.1738496	-5.1995697	CHIH_CHIH_13131
3.1829429	0.5403486	-6.156095	-6.9213495	DANE_DANE_26647
1.326226	-2.3521345	-5.9404206	-5.915022	BELS_BELS_22740
1.3911637	-2.3589377	-5.8637433	-5.824335	BELS_BELS_22734
1.3469478	-2.3410013	-5.9371533	-5.858415	BELS_BELS_22739
1.3976794	-2.1930447	-6.1107926	-5.955525	TURV_TURV_22772
1.1203417	-1.9527901	-6.016477	-5.9694014	TURV_TURV_22781
1.3856726	-2.4143884	-5.6393266	-5.766238	BELS_BELS_23989
1.3937258	-2.4210727	-5.8829017	-5.843233	BELS_BELS_28284
1.4057561	-2.4524257	-5.792281	-5.7808022	BELS_BELS_28296
1.4262369	-2.4432838	-5.975122	-5.860895	BELS_BELS_28292
1.3474776	-2.3541098	-5.8164897	-5.8300257	BELS_BELS_15646
1.3735964	-2.3884332	-5.762738	-5.8070097	BELS_BELS_24606
7.3387313	-8.305336	-5.5274677	-4.95225	BORD_BORD_28461
15.635289	-4.409622	-3.9807546	-5.4643617	WHIP_WHIP_28395
-1.8129612	-8.080163	-6.1268864	-5.2101355	PAPI_PAPI_28462
-3.3295915	-3.466428	-6.1902695	-5.6283035	SALU_SALU_27932
-13.074136	-8.37984	-4.1416664	-5.9999833	CHOW_CHOW_28874
-2.1318486	-7.9912953	-6.236262	-5.2143087	PAPI_PAPI_28460
-11.605191	-7.1869383	-4.386885	-5.8488455	CHOW_CHOW_28885
15.632662	-4.365363	-4.0444307	-5.476867	WHIP_WHIP_27374
3.920988	-7.524663	-5.5603404	-5.743472	FCR_FCR_028379
-12.738308	-8.221071	-4.295541	-5.6810565	CHOW_CHOW_28880
7.397902	-8.421448	-5.5411534	-4.968729	BORD_BORD_27579
1.624836	-4.8020363	-5.7187057	-5.6664596	BRIA_BRIA_27587
-0.98177004	-8.114206	-5.7146955	-4.7986994	TPOO_TPOO_26331
15.466072	-4.379639	-4.0755863	-5.5648975	WHIP_WHIP_27375
8.672535	1.7926972	-4.73457	-5.890521	FBUL_FBUL_27595
-12.191917	-7.819785	-4.5669246	-5.751984	CHOW_CHOW_28871
-0.013696582	-9.554012	-5.45052	-5.574417	ESSP_ESSP_28464
9.922286	2.2660122	-4.585318	-5.5571995	FBUL_FBUL_27594
-13.150551	-2.9924648	-4.5968127	-7.0377645	AKIT_AKIT_01130
-12.968413	-3.005997	-4.539416	-7.1999383	AKIT_AKIT_12342
-12.648715	-8.052916	-4.106484	-5.6971364	CHOW_CHOW_28872
-12.144604	-3.1120253	-4.5993185	-6.5893416	AKIT_AKIT_01273
4.3866186	-26.325857	-5.4206486	-4.374083	BLDH_BLDH_11432
4.5604897	-26.815136	-5.332681	-4.1876745	BLDH_BLDH_25393
22.776882	-1.7177627	-5.321487	-5.286305	BULM_BULM_26414
2.7842946	0.54560095	-6.1970916	-6.9446816	DANE_DANE_13574
13.963404	-0.8795869	-5.0976143	-5.7169847	MAST_MAST_02298
1.3981917	-0.35901183	-6.005702	-6.2253323	ROTT_ROTT_27544
1.3956387	-0.33955044	-6.145591	-6.2894745	ROTT_ROTT_15437
1.4276011	-0.40570217	-6.114468	-6.2753224	ROTT_ROTT_01014
-1.6460332	-5.842002	-5.7283463	-5.1524367	GPYR_GPYR_08830
-1.6300017	-5.8800764	-5.8141212	-5.155194	GPYR_GPYR_08836
-1.5960857	-5.854911	-6.027014	-5.134733	GPYR_GPYR_12349
-1.5558457	-6.021206	-5.8557935	-5.0698733	GPYR_GPYR_27750
-1.6042105	-6.0536427	-5.8267922	-5.1328497	GPYR_GPYR_27751
-9.8554325	-8.734595	-5.676833	-4.8045077	BSJI_BSJI_04207
-14.57818	-13.995079	-5.4736524	-4.3173056	BSJI_BSJI_04229
-11.592451	-10.640132	-5.6335115	-4.5294776	BSJI_BSJI_20567
-1.9535738	-6.848768	-6.056233	-5.1667066	KUVZ_KUVZ_06693
-5.0221047	-4.259078	-5.7489533	-5.430908	AFGH_AFGH_10624
-1.9016539	-6.7752533	-6.0676193	-5.19421	KUVZ_KUVZ_07318
1.5860938	-4.8067617	-5.7972336	-5.626603	BRIA_BRIA_20217
-1.8884312	-6.8549094	-6.0510297	-5.115432	KUVZ_KUVZ_05341
-1.0819966	-8.403291	-5.765636	-4.7366896	TPOO_TPOO_09064
0.36340097	-3.4993827	-5.765429	-4.805409	DOBP_DOBP_06079
-1.0310203	-8.418375	-5.6870027	-4.599682	TPOO_TPOO_09067
0.37139443	-3.4257348	-5.827544	-4.73167	DOBP_DOBP_06082
-1.0332156	-8.397718	-5.721705	-4.634613	TPOO_TPOO_09079
-5.0650425	-4.279726	-5.754728	-5.4899077	AFGH_AFGH_10622
-2.4281144	-11.114441	-5.511476	-5.1632986	HAVA_HAVA_07323
0.37063208	-3.4857657	-5.702927	-4.826797	DOBP_DOBP_06072
-2.5198822	-11.112644	-5.636646	-5.0270452	HAVA_HAVA_07423
0.3685967	-3.4947586	-5.6953187	-4.8298445	DOBP_DOBP_06043
-2.5187354	-10.881558	-5.574689	-5.1051803	HAVA_HAVA_07424
-3.895131	-5.2919083	-6.4973836	-5.4905586	SAMO_SAMO_14535
-5.0368543	-4.1929836	-5.737069	-5.4820395	AFGH_AFGH_22932
-4.022559	-5.542177	-6.372318	-5.262109	SAMO_SAMO_23541
1.5167356	-4.862785	-5.8359065	-5.6157722	BRIA_BRIA_20022
-3.9180198	-5.324235	-6.4782505	-5.234897	SAMO_SAMO_24139
1.5356084	-4.487208	-6.020504	-5.661088	BRIA_BRIA_20026
7.2293744	-8.170663	-5.479208	-5.0862913	BORD_BORD_28463
-13.397378	-12.705955	-5.485433	-4.4221725	BSJI_BSJI_12694
-5.027	-4.233732	-5.705238	-5.427171	AFGH_AFGH_13118
-2.5045187	-10.794184	-5.6325464	-5.1287093	HAVA_HAVA_07533
-4.986286	-4.207972	-5.7167597	-5.5377636	AFGH_AFGH_14486
-2.1089716	-10.280567	-5.751323	-5.0876045	HAVA_HAVA_07524
-0.47549686	-1.636522	-5.59052	-5.306992	GSD_GSD_013191
1.5707685	-4.7357206	-5.821379	-5.5806737	BRIA_BRIA_14565
-1.2729411	-8.36588	-5.879913	-4.644948	TPOO_TPOO_07578
-0.37223205	-1.4075096	-5.5185633	-5.229081	GSD_GSD_014567
-1.1631896	-7.692381	-6.075759	-4.992732	TPOO_TPOO_10439
3.2665164	-5.1897836	-6.024183	-5.7092543	GOLD_GOLD_07286
-5.049329	-4.283859	-5.7256227	-5.4499	AFGH_AFGH_10625
-0.9816452	-8.524406	-5.5252748	-4.6503115	TPOO_TPOO_09069
1.561425	-4.6868906	-5.68772	-5.627264	BRIA_BRIA_14502
-3.9668522	-5.4275413	-6.426723	-5.2175107	SAMO_SAMO_00229
6.3470383	-5.2278643	-5.2996798	-5.7224283	CAIR_CAIR_28466
9.927065	2.2939527	-4.5121217	-5.523914	FBUL_FBUL_16073
6.456442	-5.1489143	-5.4111032	-5.737958	CAIR_CAIR_28521
9.940508	2.292159	-4.5231175	-5.5564566	FBUL_FBUL_14473
6.5151777	-5.233565	-5.4400344	-5.611228	CAIR_CAIR_27172
9.892807	2.2861154	-4.4925923	-5.6201067	FBUL_FBUL_16072
6.3550625	-5.099119	-5.3744607	-5.7254267	CAIR_CAIR_28517
-2.2091827	-7.7977657	-6.0611587	-5.2391067	PAPI_PAPI_22902
9.967531	2.2753434	-4.6131406	-5.6543846	FBUL_FBUL_14477
-1.8769268	-7.733958	-5.9696336	-5.2654867	PAPI_PAPI_14935
9.552389	2.1325486	-4.6719346	-5.655096	FBUL_FBUL_16071
7.6242294	-11.78882	-5.2689815	-3.8412018	PEMB_PEMB_28457
-2.5545328	-10.949535	-5.589521	-5.1545486	HAVA_HAVA_07628
7.2868705	-8.328268	-5.5310297	-5.0002084	BORD_BORD_12713
7.324554	-8.3447485	-5.482498	-4.993474	BORD_BORD_11125
1.5291561	-4.8219166	-5.8547435	-5.569938	BRIA_BRIA_20268
