mean1	mean2	sd1	sd2	sampleID
-5.8360453	-0.19327226	-4.6308093	-4.482469	Mozabite_HGDP01274
-5.55353	-0.8310307	-4.564683	-4.3151407	Mozabite_HGDP01275
-5.9686036	-0.33445254	-4.6544275	-4.395459	Mozabite_HGDP01276
-6.235847	-0.44338527	-4.77958	-4.3447475	Mozabite_HGDP01277
-6.091467	-0.5571972	-4.721373	-4.291211	Mozabite_HGDP01278
-6.0010934	-0.5541612	-4.6902084	-4.35692	Mozabite_HGDP01279
-6.156148	-0.70335054	-4.787662	-4.3346	Mozabite_HGDP01280
-6.15768	-0.6492275	-4.8029656	-4.240074	Mozabite_HGDP01282
-5.3279905	-0.49567237	-4.4360485	-4.4123487	Saharawi_SAH18
-4.846974	-0.69745815	-4.263833	-4.4899507	Saharawi_SAH21
-5.177258	-0.50970733	-4.357911	-4.4417906	Saharawi_SAH24
-5.1952977	-0.39062634	-4.400268	-4.4364095	Saharawi_SAH27
-5.336617	-0.48203984	-4.389984	-4.424667	Saharawi_SAH34
-5.0392184	-0.46202865	-4.363551	-4.491369	Saharawi_SAH9
-3.4845145	0.3058277	-3.7776732	-4.9669514	Somali_Ayodo_21S
-3.6253707	0.31464896	-3.8742197	-4.9299154	Somali_Ayodo_23S
-3.503523	0.3368313	-3.7938237	-4.9189396	Somali_Ayodo_34S
-3.4458702	0.38738713	-3.7558577	-4.94019	Somali_Ayodo_35S
-3.5491447	0.3912445	-3.8828375	-4.9171734	Somali_Ayodo_40S
-3.4138772	0.41355476	-3.7300892	-4.9553566	Somali_Ayodo_41S
-3.4794426	0.3131028	-3.7761605	-4.926812	Somali_Ayodo_43S
-3.5045638	0.3544459	-3.7515938	-4.915771	Somali_Ayodo_52S
-3.6262078	0.3915201	-3.798305	-4.9239807	Somali_Ayodo_5S
-3.4560683	0.4796811	-3.8411078	-4.903022	Somali_Ayodo_61S
-3.5341518	0.40390942	-3.7461581	-5.001691	Somali_Ayodo_69S
-3.5166013	0.3701242	-3.7991261	-4.927391	Somali_Ayodo_81S
-3.571692	0.41515085	-3.8557844	-4.907163	Somali_Ayodo_90S
-4.5890517	-1.9172158	-4.5215635	-4.320105	Jew_Tunisian_TunisianJew1170
-4.7742715	-1.9268606	-4.5226765	-4.2960286	Jew_Tunisian_TunisianJew1421
-4.671943	-1.8157104	-4.5092688	-4.3133683	Jew_Tunisian_TunisianJew1507
-4.5110207	-2.0276592	-4.504579	-4.313453	Jew_Tunisian_TunisianJew1511
-4.7292495	-1.9043452	-4.564397	-4.2865276	Jew_Tunisian_TunisianJew1531
-4.1067386	-2.043168	-4.4963217	-4.384945	Jew_Tunisian_TunisianJew1544
-4.61348	-1.8686261	-4.481056	-4.3065224	Jew_Tunisian_TunisianJew1763
-4.449059	-0.77643025	-4.2622633	-4.4464808	Tunisian_Tunisian200000
-4.481936	-0.954049	-4.3141336	-4.5184207	Tunisian_Tunisian20A5
-4.5315704	-0.926088	-4.289171	-4.451504	Tunisian_Tunisian20B4
-4.307132	-0.7574167	-4.249548	-4.598986	Tunisian_Tunisian20C1
-4.706751	-1.118066	-4.3789454	-4.404068	Tunisian_Tunisian20C4
-4.511155	-0.65276587	-4.2578154	-4.511041	Tunisian_Tunisian20D1
-4.5697327	-0.5411211	-4.1751943	-4.49622	Tunisian_Tunisian20D4
-4.760655	-0.843469	-4.3731556	-4.432352	Tunisian_Tunisian20F4
-3.2756453	2.2928405	-3.8574786	-4.479921	Yoruba_HGDP00920
-3.3563058	2.456018	-3.8586724	-4.4501743	Yoruba_HGDP00924
-3.4891918	2.4050999	-3.8638084	-4.4418273	Yoruba_HGDP00925
-3.362736	2.312593	-3.870649	-4.482173	Yoruba_HGDP00926
-3.326994	2.4209027	-3.8716238	-4.448157	Yoruba_HGDP00928
-3.292708	2.4557376	-3.8037012	-4.4597635	Yoruba_HGDP00929
-3.8930836	2.5520842	-3.914963	-4.3582234	Yoruba_HGDP00930
-3.5133922	2.393292	-3.9314964	-4.4261413	Yoruba_HGDP00931
-3.4710186	2.5003383	-3.8979485	-4.4043665	Yoruba_HGDP00932
-3.4162145	2.5322845	-3.8286912	-4.400275	Yoruba_HGDP00933
-3.2654493	2.275966	-3.8644502	-4.500317	Yoruba_HGDP00934
-3.4489563	2.4597187	-3.9032252	-4.430519	Yoruba_HGDP00935
-3.4338381	2.5228548	-3.8803036	-4.419711	Yoruba_HGDP00936
-3.2918627	2.4772716	-3.8863246	-4.403396	Yoruba_HGDP00937
-3.4958646	2.5307252	-3.8550136	-4.389608	Yoruba_HGDP00938
-3.3565357	2.2866926	-3.8589423	-4.44193	Yoruba_HGDP00939
-3.2842155	2.4223866	-3.8519933	-4.474634	Yoruba_HGDP00940
-3.2731886	2.3767536	-3.832463	-4.4357963	Yoruba_HGDP00941
-3.5468588	2.5871997	-3.8515584	-4.3946056	Yoruba_HGDP00942
-3.2453222	2.4391713	-3.8180408	-4.4304104	Yoruba_HGDP00943
-3.3317084	2.3823185	-3.8637726	-4.4530325	Yoruba_HGDP00944
-3.343863	2.373351	-3.840213	-4.49109	Yoruba_NA18501
-3.5879333	2.548688	-3.8413265	-4.379441	Yoruba_NA18504
-3.5386264	2.575234	-3.87311	-4.369058	Yoruba_NA18505
-3.6604705	2.443711	-3.9274552	-4.421979	Yoruba_NA18507
