mean1	mean2	sd1	sd2	sampleID
0.50655323	4.6927996	-4.3036475	-3.8520625	Libyan_LIB27
0.5620255	4.6105957	-4.3161764	-3.8418646	Libyan_LIB30
1.6079155	4.224163	-4.1554446	-3.56901	Jew_Libyan_LibyanJew1104
1.5792474	4.2035475	-4.1969824	-3.607405	Jew_Libyan_LibyanJew1263
1.3194283	3.9059436	-4.36734	-3.685498	Jew_Libyan_LibyanJew1438
1.7943774	3.8983154	-4.2183127	-3.6074739	Jew_Libyan_LibyanJew1462
1.6973699	4.2149444	-4.1277676	-3.5739727	Jew_Libyan_LibyanJew1601
1.6919371	3.6492133	-4.2973013	-3.6407757	Jew_Libyan_LibyanJew1605
1.7610589	4.4072843	-4.06822	-3.5597315	Jew_Libyan_LibyanJew1611
1.6077962	4.34727	-4.108955	-3.5500526	Jew_Libyan_LibyanJew1639
1.5735499	4.2466974	-4.138432	-3.5786755	Jew_Libyan_LibyanJew1659
-2.9835284	3.9626923	-6.041542	-4.141393	Luhya_NA19017
-2.8059711	4.0159235	-5.9363976	-4.181549	Luhya_NA19019
-2.845368	3.9716039	-5.979616	-4.1925817	Luhya_NA19020
-1.7641746	3.167014	-5.717476	-4.295819	Luhya_NA19023
-1.7521002	3.535668	-5.579262	-4.2273154	Luhya_NA19024
-2.9855318	4.1305227	-6.0225434	-4.132848	Luhya_NA19026
-2.623342	4.0079117	-5.88853	-4.1803308	Luhya_NA19027
-2.9120681	4.0287256	-6.009004	-4.175889	Luhya_NA19044
-1.7998477	3.220446	-5.6726904	-4.2900457	Luo_Ayodo_412C
-2.9870718	4.038555	-6.0564585	-4.183518	Luo_Ayodo_423C
-2.8340588	3.9387388	-5.974989	-4.1980505	Luo_Ayodo_430C
-1.5706593	3.2663825	-5.6142125	-4.249845	Luo_Ayodo_438C
-2.8835683	3.9863489	-6.0001874	-4.183195	Luo_Ayodo_458C
-3.061681	3.7412167	-6.051453	-4.252985	Luo_Ayodo_460C
-2.791924	4.014858	-5.978512	-4.161443	Luo_Ayodo_502C
-2.9010584	4.099581	-6.009353	-4.106748	Luo_Ayodo_604C
-3.5336652	4.222915	-6.2020116	-4.0824685	Mandenka_HGDP00904
-3.5747056	4.338907	-6.218643	-4.0621862	Mandenka_HGDP00905
-3.5674262	4.185964	-6.2512865	-4.085784	Mandenka_HGDP00906
-3.5073004	4.3239036	-6.208304	-4.03403	Mandenka_HGDP00907
-3.9041073	4.5126576	-6.3301783	-3.9728355	Mandenka_HGDP00908
-2.1551952	3.9803255	-5.6396666	-4.1842833	Mandenka_HGDP00909
-3.51317	4.351061	-6.219964	-4.070101	Mandenka_HGDP00910
-3.9435601	4.4270167	-6.35129	-3.990368	Mandenka_HGDP00912
-2.1482728	4.11674	-5.6395683	-4.1526175	Mandenka_HGDP00913
-3.418842	4.3806524	-6.187836	-4.0432205	Mandenka_HGDP00915
-3.6377277	4.551552	-6.2609744	-3.931921	Mandenka_HGDP00917
-3.6454997	4.3848724	-6.281163	-4.0261164	Mandenka_HGDP01199
-3.526719	4.201384	-6.251089	-4.079449	Mandenka_HGDP01200
-1.9911598	3.8223922	-5.637025	-4.1928773	Mandenka_HGDP01202
-3.5994728	4.436623	-6.2370405	-4.0028105	Mandenka_HGDP01283
-3.645033	4.169952	-6.3191996	-4.0847745	Mandenka_HGDP01284
-3.5059104	4.3279004	-6.218194	-4.0501404	Mandenka_HGDP01286
-0.6268059	3.428589	-5.113047	-4.055706	Masai_NA21302
-1.0274794	3.333223	-5.389221	-4.2572293	Masai_NA21310
-1.2149045	3.261518	-5.450484	-4.2876472	Masai_NA21366
-0.9402523	3.4774697	-5.3255014	-4.2170544	Masai_NA21425
-1.1188837	3.3889196	-5.3611794	-4.24496	Masai_NA21477
-1.176057	3.369413	-5.404622	-4.2431736	Masai_NA21487
-1.0564008	3.2954874	-5.376658	-4.244464	Masai_NA21490
-0.85331225	3.302264	-5.2712526	-4.1671147	Masai_NA21514
-0.72673976	3.3803844	-5.1335745	-4.0740504	Masai_NA21581
-1.0662092	3.4553459	-5.362732	-4.2414284	Masai_NA21648
-1.159274	3.357957	-5.4309683	-4.2754683	Masai_Ayodo_101M
-1.4012254	3.8661737	-5.3760347	-4.2238803	Masai_Ayodo_103M
-6.0745583	1.9370749	-6.827158	-4.5210624	Mbuti_HGDP00449
-6.204839	1.7441103	-6.868987	-4.478392	Mbuti_HGDP00462
-6.228261	1.7290158	-6.883562	-4.5036583	Mbuti_HGDP00463
-3.6293988	1.780832	-6.3709936	-4.711083	Mbuti_HGDP00467
-3.6049395	1.5164332	-6.405895	-4.754923	Mbuti_HGDP00474
-6.1483245	1.7549522	-6.8529315	-4.5003295	Mbuti_HGDP00476
-6.234405	1.8472891	-6.8933687	-4.466523	Mbuti_HGDP00478
-6.104662	1.9231976	-6.875702	-4.4504776	Mbuti_HGDP00982
-6.139322	1.7289057	-6.862938	-4.5095806	Mbuti_HGDP00984
-6.0633397	1.7778897	-6.8210454	-4.5347495	Mbuti_HGDP01081
-3.7109241	4.0471306	-6.2686653	-4.10607	Mende_HG03052
-3.7712848	4.137657	-6.3239098	-4.0650067	Mende_HG03057
-3.8424814	4.17106	-6.3543434	-4.0716076	Mende_HG03069
-3.546611	3.769164	-6.4245877	-4.088246	Mende_HG03072
-3.7039297	4.0526295	-6.3093433	-4.1342845	Mende_HG03076
-3.6841412	4.048725	-6.3131723	-4.1250963	Mende_HG03078
-3.7726781	4.026378	-6.3040085	-4.135982	Mende_HG03085
-2.0068827	3.3939931	-5.749371	-4.280358	Mende_HG03097
0.3464395	5.110076	-4.267066	-3.8588905	Moroccan_MCA7
0.32788685	5.024561	-4.315088	-3.8711905	Moroccan_MCA8
0.39149657	5.5428276	-4.1776943	-3.7874918	Moroccan_MCA9
0.3883486	5.176865	-4.24501	-3.8407252	Moroccan_MCA14
0.34145883	5.0702696	-4.2529106	-3.8581524	Moroccan_MCA16
-0.043639522	4.801094	-4.462984	-3.9146352	Moroccan_MCA19
0.19245864	5.223805	-4.319291	-3.870815	Moroccan_MCA24
0.41870442	4.7164965	-4.3605037	-3.8788097	Moroccan_MCA37
0.01483788	4.8483863	-4.387702	-3.8761063	Moroccan_MCA38
0.15483762	5.058742	-4.3983593	-3.8788524	Moroccan_MCA39
1.9218217	4.26252	-4.131676	-3.5479183	Jew_Moroccan_MoroccanJew4634
1.8933331	4.1839027	-4.0931797	-3.5291243	Jew_Moroccan_MoroccanJew4683
1.8265076	4.2057686	-4.123695	-3.5466988	Jew_Moroccan_MoroccanJew4692
1.6655433	4.153586	-4.198226	-3.6047602	Jew_Moroccan_MoroccanJew4789
1.8746549	4.213008	-4.113739	-3.5464108	Jew_Moroccan_MoroccanJew5126
1.5484853	3.6764307	-4.366997	-3.6888337	Jew_Moroccan_MoroccanJew5168
0.32867196	5.6355753	-4.1820583	-3.7995806	Mozabite_HGDP01253
0.31600776	5.6795034	-4.1822276	-3.7804506	Mozabite_HGDP01254
0.45743653	4.7998343	-4.337158	-3.8562036	Mozabite_HGDP01255
0.2846699	5.377307	-4.1938047	-3.8354192	Mozabite_HGDP01256
0.23699738	5.3728228	-4.226465	-3.8313272	Mozabite_HGDP01257
0.3310677	5.5304217	-4.203365	-3.7996612	Mozabite_HGDP01258
0.36794606	5.089814	-4.2478657	-3.840629	Mozabite_HGDP01259
0.3027046	4.9740534	-4.346279	-3.8655164	Mozabite_HGDP01262
0.5334403	5.119032	-4.280165	-3.8372445	Mozabite_HGDP01263
0.46730998	5.0401225	-4.217414	-3.814336	Mozabite_HGDP01264
0.42599562	5.431698	-4.157489	-3.8172755	Mozabite_HGDP01265
0.33033505	5.3237386	-4.2304597	-3.8199039	Mozabite_HGDP01268
0.36737636	5.8041515	-4.126806	-3.7634075	Mozabite_HGDP01272
0.14648081	5.4407396	-4.2791653	-3.8265543	Mozabite_HGDP01274
0.6431892	4.5478754	-4.2816086	-3.8161166	Mozabite_HGDP01275
0.30893055	5.4024982	-4.2138767	-3.8234625	Mozabite_HGDP01276
0.2929919	5.669585	-4.1962166	-3.802876	Mozabite_HGDP01277
0.36499992	5.5664496	-4.177878	-3.7956643	Mozabite_HGDP01278
0.42676118	5.117304	-4.216388	-3.819147	Mozabite_HGDP01279
0.32291773	5.712048	-4.1351137	-3.7896664	Mozabite_HGDP01280
0.44838062	5.5026555	-4.0962553	-3.7789216	Mozabite_HGDP01282
0.24084915	5.5240912	-4.244263	-3.8231077	Saharawi_SAH18
0.28899017	5.031292	-4.316037	-3.8627186	Saharawi_SAH21
0.29879156	5.0985026	-4.2776074	-3.8655689	Saharawi_SAH24
0.17308511	5.4724402	-4.2517014	-3.828748	Saharawi_SAH27
0.14247383	5.52343	-4.245952	-3.8316987	Saharawi_SAH34
0.27623716	5.03423	-4.2918215	-3.8477979	Saharawi_SAH9
-0.66392255	3.9307544	-5.0663033	-4.1122713	Somali_Ayodo_21S
-0.5228685	4.007615	-4.9341235	-4.0364766	Somali_Ayodo_23S
-0.48929438	3.8246703	-4.9619823	-4.0530014	Somali_Ayodo_34S
-0.5401914	3.8498187	-4.9454994	-4.0372076	Somali_Ayodo_35S
-0.21029173	3.1404505	-4.926816	-4.0232673	Somali_Ayodo_40S
-0.59620225	4.0580535	-4.9799194	-4.038841	Somali_Ayodo_41S
-0.4512895	3.9176219	-4.8755016	-4.0286846	Somali_Ayodo_43S
-0.552472	3.7958107	-4.9615316	-4.0485873	Somali_Ayodo_52S
-0.5951234	3.9397607	-4.9362736	-4.0317307	Somali_Ayodo_5S
-0.3524681	3.9047625	-4.8460336	-4.0075793	Somali_Ayodo_61S
-0.64603996	3.7468567	-5.0383577	-4.0692954	Somali_Ayodo_69S
-0.5163628	3.9995344	-4.9330463	-4.0446267	Somali_Ayodo_81S
-0.35059986	3.96153	-4.8226986	-3.9843326	Somali_Ayodo_90S
1.6275965	4.323449	-4.1414547	-3.5610776	Jew_Tunisian_TunisianJew1170
1.6863753	4.363144	-4.132895	-3.5582116	Jew_Tunisian_TunisianJew1421
1.5104221	4.1770334	-4.2118187	-3.6065426	Jew_Tunisian_TunisianJew1507
1.7417644	4.240808	-4.131947	-3.553264	Jew_Tunisian_TunisianJew1511
1.7236087	4.303635	-4.118413	-3.5317557	Jew_Tunisian_TunisianJew1531
1.4324032	3.847897	-4.339339	-3.691525	Jew_Tunisian_TunisianJew1544
1.6029886	4.4710293	-4.1125565	-3.5735435	Jew_Tunisian_TunisianJew1763
0.4550331	4.7260656	-4.3393354	-3.8954291	Tunisian_Tunisian200000
0.6933061	3.9327655	-4.470188	-3.8527532	Tunisian_Tunisian20A5
0.5075188	4.833038	-4.310191	-3.8559184	Tunisian_Tunisian20B4
0.47218183	4.591861	-4.3061843	-3.8895202	Tunisian_Tunisian20C1
0.5085686	4.92031	-4.286707	-3.8229032	Tunisian_Tunisian20C4
0.35882953	4.686288	-4.351357	-3.8815103	Tunisian_Tunisian20D1
0.467724	4.5911493	-4.3091164	-3.8573833	Tunisian_Tunisian20D4
0.46199986	4.9579244	-4.2784896	-3.8549986	Tunisian_Tunisian20F4
-2.206897	3.911364	-5.729684	-4.2054567	Yoruba_HGDP00920
-3.8875673	4.2575912	-6.337351	-4.0194387	Yoruba_HGDP00924
-3.6745882	4.173018	-6.252754	-4.079681	Yoruba_HGDP00925
-2.20316	3.9419482	-5.6482553	-4.1632514	Yoruba_HGDP00926
-3.838456	4.2832193	-6.3152475	-4.0232563	Yoruba_HGDP00928
-3.9197516	4.2581763	-6.361252	-3.9944835	Yoruba_HGDP00929
-3.822704	4.3751993	-6.317933	-4.00631	Yoruba_HGDP00930
-3.6248047	4.187104	-6.2630386	-4.0907574	Yoruba_HGDP00931
-3.7989364	4.3183713	-6.359434	-3.9937773	Yoruba_HGDP00932
-3.8615248	4.2716246	-6.3436613	-4.039104	Yoruba_HGDP00933
-2.257187	4.055724	-5.715048	-4.1404653	Yoruba_HGDP00934
-3.9235988	4.2631054	-6.367253	-4.018664	Yoruba_HGDP00935
-3.9210925	4.339096	-6.3801537	-3.995842	Yoruba_HGDP00936
-3.6722798	4.1824703	-6.2759466	-4.081693	Yoruba_HGDP00937
-3.7528555	4.3352613	-6.3094816	-4.0077386	Yoruba_HGDP00938
-3.8364754	4.2231393	-6.3221006	-4.040608	Yoruba_HGDP00939
-2.1938674	3.8452523	-5.730975	-4.204563	Yoruba_HGDP00940
-2.1281767	3.8384488	-5.702831	-4.192225	Yoruba_HGDP00941
-3.8313017	4.2985134	-6.3474717	-4.011695	Yoruba_HGDP00942
-4.103223	4.4797997	-6.3924904	-3.9565115	Yoruba_HGDP00943
-3.8594487	4.2818937	-6.3475184	-4.032355	Yoruba_HGDP00944
-2.209097	3.9138832	-5.6825733	-4.1466603	Yoruba_NA18501
-3.850451	4.3060527	-6.3643355	-3.996204	Yoruba_NA18504
-3.864134	4.3408103	-6.354333	-4.00165	Yoruba_NA18505
-3.9023697	4.3046103	-6.350379	-4.005786	Yoruba_NA18507
-3.8853855	4.292226	-6.355405	-3.9968562	Yoruba_NA18508
-3.8327055	4.2213254	-6.3492317	-4.0203395	Yoruba_NA18516
-3.8817654	4.342639	-6.3476706	-4.0135903	Yoruba_NA18517
-3.7609527	4.2276063	-6.3337464	-4.068394	Yoruba_NA18522
-2.1267152	3.8567917	-5.69246	-4.1727595	Yoruba_NA18852
-2.1979046	3.8428621	-5.753358	-4.215959	Yoruba_NA18853
-3.604532	4.272113	-6.218827	-4.0663104	Yoruba_NA18855
-3.8740067	4.266179	-6.3590126	-4.0275307	Yoruba_NA18856
-3.62281	4.222355	-6.263879	-4.053728	Yoruba_NA18858
-3.886868	4.284394	-6.3893805	-4.00481	Yoruba_NA18859
-3.6664073	4.17907	-6.2789307	-4.0921273	Yoruba_NA18861
-3.6068745	4.215203	-6.2729053	-4.0439286	Yoruba_NA18862
-3.9402447	4.3308644	-6.404171	-3.979119	Yoruba_NA18870
-2.3396893	4.1148753	-5.743538	-4.15844	Yoruba_NA18871
-3.7637746	4.3363047	-6.293247	-4.006082	Yoruba_NA19093
-3.8433285	4.2607284	-6.360628	-4.024666	Yoruba_NA19098
-3.838771	4.2817698	-6.347081	-4.0336447	Yoruba_NA19099
-3.7522476	4.141095	-6.308246	-4.101533	Yoruba_NA19101
-3.8270457	4.1500826	-6.346275	-4.069642	Yoruba_NA19102
-3.8968954	4.269122	-6.3713226	-4.0177884	Yoruba_NA19116
-3.720479	4.228226	-6.253334	-4.065045	Yoruba_NA19119
-3.9573648	4.2660966	-6.382977	-4.014564	Yoruba_NA19127
-3.6602788	4.2310557	-6.270424	-4.0778174	Yoruba_NA19128
-3.8254838	4.3222156	-6.32469	-4.0235476	Yoruba_NA19130
-3.7552943	4.2060156	-6.3386807	-4.0552745	Yoruba_NA19131
-3.8419619	4.2919044	-6.3318434	-4.0255713	Yoruba_NA19137
-3.8720555	4.2927203	-6.362196	-4.0178704	Yoruba_NA19138
-3.8851974	4.2434287	-6.341694	-4.04254	Yoruba_NA19141
-3.806006	4.30113	-6.3209476	-4.031447	Yoruba_NA19143
-3.8930643	4.2279744	-6.3518915	-4.050691	Yoruba_NA19144
-3.74	4.281185	-6.308172	-4.0392737	Yoruba_NA19159
-4.146197	4.5365663	-6.440555	-3.8878517	Yoruba_NA19160
-3.862664	4.5150065	-6.329352	-3.9206038	Yoruba_NA19171
-2.0787225	3.5171337	-5.7481003	-4.276496	Yoruba_NA19193
-4.0563455	4.478638	-6.427475	-3.8808248	Yoruba_NA19201
-3.798745	4.287178	-6.324035	-4.0231576	Yoruba_NA19203
-2.2304485	3.7275753	-5.759364	-4.2359686	Yoruba_NA19204
-3.8082075	4.2538056	-6.3322043	-4.065036	Yoruba_NA19206
-2.3560696	4.148928	-5.750143	-4.1363134	Yoruba_NA19207
-2.1605024	4.0450463	-5.6769123	-4.1620145	Yoruba_NA19209
-2.3233976	3.9758523	-5.7324142	-4.165856	Yoruba_NA19210
-3.725112	4.159095	-6.294312	-4.0693564	Yoruba_NA19222
-3.7716806	4.2049217	-6.3650274	-4.0425186	Yoruba_NA19223
-3.8284845	4.2887077	-6.3340783	-4.0311584	Yoruba_NA19238
-3.9318109	4.3938904	-6.407541	-3.9904246	Yoruba_NA19239
2.1531808	2.7619026	-4.3418097	-3.7214892	Abkhasian_abh107
2.2999904	3.0225863	-4.2889447	-3.650765	Abkhasian_abh119
2.332024	3.0550244	-4.268903	-3.6354215	Abkhasian_abh122
2.190475	3.007888	-4.304933	-3.640505	Abkhasian_abh133
2.3650167	3.0681376	-4.2709694	-3.6052885	Abkhasian_abh147
2.0310163	2.8414164	-4.398885	-3.6920156	Abkhasian_abh154
2.0400753	2.9803517	-4.3677993	-3.6871357	Abkhasian_abh24
2.3434834	3.1906805	-4.234382	-3.612773	Abkhasian_abh27
2.4199972	2.9110985	-4.2857122	-3.6589894	Abkhasian_abh41
2.640069	2.9447355	-4.2329917	-3.6635504	Adygei_HGDP01381
2.6098921	3.0491214	-4.1286235	-3.5857518	Adygei_HGDP01382
2.540679	3.00516	-4.268218	-3.656406	Adygei_HGDP01383
2.6266093	2.997833	-4.217026	-3.6294742	Adygei_HGDP01385
2.4115202	2.8610082	-4.320072	-3.735827	Adygei_HGDP01386
2.5986185	3.0239625	-4.1939106	-3.6400578	Adygei_HGDP01387
2.982517	3.1787915	-4.0947695	-3.6264157	Adygei_HGDP01396
2.699485	2.9684937	-4.220859	-3.666505	Adygei_HGDP01397
2.4611778	2.9685633	-4.266015	-3.6384053	Adygei_HGDP01398
2.5760536	3.0255322	-4.218366	-3.6544976	Adygei_HGDP01399
2.441131	2.821736	-4.343739	-3.7591069	Adygei_HGDP01400
2.5195618	3.000272	-4.2485695	-3.656518	Adygei_HGDP01401
2.6686387	2.849279	-4.2845607	-3.7672482	Adygei_HGDP01402
2.5979316	3.081606	-4.1894703	-3.633966	Adygei_HGDP01403
2.5640197	2.8752391	-4.2756853	-3.6946874	Adygei_HGDP01404
2.5389352	2.9069831	-4.2549915	-3.6391587	Adygei_NA13626
2.8143234	3.6362715	-3.9861016	-3.5420299	Albanian_ALB191
3.060322	4.069536	-3.8492084	-3.4077148	Albanian_ALB202
2.891042	4.3817806	-3.7807941	-3.3401344	Albanian_ALB212
2.91994	4.1736393	-3.846859	-3.3816752	Albanian_ALB213
2.7777612	4.1872807	-3.8689075	-3.415807	Albanian_ALB220
2.906199	4.2759156	-3.8287416	-3.3612432	Albanian_ALB230
2.0393646	3.1235013	-4.3723354	-3.643731	Armenian_armenia102
